"id","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","instant_bookable","a_balcony","a_garden","a_fireplace","a_outdoors","a_pool","a_breakfast","a_air_conditioning","a_parking","a_working_space","a_child_friendly","a_gym","a_gaming","a_kitchen","a_pets","bathroom_digits","bathroom_chars","bathrooms_type","bathrooms_count","flag_review_scores_rating"
26798276,"0","50",0,5,5,1,0,"la Dreta de l'Eixample","Eixample","Apartment","Private room",4,"1 private bath",1,4,125,6,1124,6,6,1124,1124,6,1124,1,29,59,89,364,2020-12-18,0,0,0,94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0," private bath","1  ","Private",1,1
26800022,"100","73",0,3,3,1,1,"el Bon Pastor","Sant Andreu","Apartment","Entire home/apt",6,"1 bath",2,7,60,32,1124,32,32,1124,1124,32,1124,1,30,60,90,365,2020-12-17,0,0,0,94,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0," bath","1 ","Private",1,1
26800315,"N/A","N/A",0,12,12,1,1,"l'Antiga Esquerra de l'Eixample","Eixample","Apartment","Entire home/apt",2,"2 baths",1,2,43,32,999,32,32,999,999,32,999,1,0,0,0,107,2020-12-17,0,0,0,94,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0," baths","2 ","Private",2,1
26800509,"100","100",1,8,8,1,1,"Hostafrancs","Sants-Montjuïc","Apartment","Entire home/apt",4,"1 bath",2,3,71,2,30,1,2,365,365,1.9,365,1,9,23,53,319,2020-12-17,139,25,0,99,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0," bath","1 ","Private",1,0
26800682,"N/A","N/A",0,12,12,1,1,"l'Antiga Esquerra de l'Eixample","Eixample","Apartment","Entire home/apt",3,"2 baths",1,2,43,32,999,32,32,999,999,32,999,1,0,0,16,291,2020-12-17,0,0,0,94,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0," baths","2 ","Private",2,1
26800844,"N/A","N/A",0,12,12,1,1,"l'Antiga Esquerra de l'Eixample","Eixample","Apartment","Entire home/apt",3,"2 baths",1,3,43,32,999,32,32,999,999,32,999,1,0,0,0,261,2020-12-17,0,0,0,94,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0," baths","2 ","Private",2,1
26801228,"N/A","N/A",0,12,12,1,1,"l'Antiga Esquerra de l'Eixample","Eixample","Apartment","Entire home/apt",3,"1 bath",3,4,44,32,999,32,32,999,999,32,999,1,0,0,0,77,2020-12-17,0,0,0,94,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0," bath","1 ","Private",1,1
26802824,"25","99",0,0,0,1,1,"la Vila de Gràcia","Gràcia","Apartment","Entire home/apt",5,"1 bath",2,5,73,1,1125,1,1,1125,1125,1,1125,1,30,60,90,355,2020-12-17,105,17,0,83,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0," bath","1 ","Private",1,0
26805594,"N/A","100",1,1,1,1,1,"el Guinardó","Horta-Guinardó","Apartment","Private room",5,"1 private bath",2,2,80,1,30,1,1,1125,1125,1,1125,1,0,14,44,134,2020-12-17,66,4,0,97,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0," private bath","1  ","Private",1,0
26811798,"100","100",1,7,7,1,1,"el Parc i la Llacuna del Poblenou","Sant Martí","Apartment","Entire home/apt",4,"2 baths",2,3,95,2,31,2,2,31,31,2,31,1,30,45,45,45,2020-12-18,56,9,0,97,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0," baths","2 ","Private",2,0
